dataset,model,model_id,num_experts,variant,prob_expert,unc_gating,features,seq_len,label_len,pred_len,seed,method,coverage,width,median_width,q_mean,alpha,window_size,window_source,retrains,unbounded,mse,mae,n_runs_seen,coverage_min,coverage_max,width_min,width_max,rerun_disagrees,d_model,n_heads,e_layers,d_layers,d_ff,expand,d_conv,factor,embed,distil,des,itr,method_params,source,all_sources,setting
ETTh1,DLinear,cqr,1,MOE,0,0,M,96,48,96,4021,cqr_quantile,0.8937,3.0593,,1.1213,0.1,,unknown - run cannot be dated,,,0.874712,0.708085,1,0.8937,0.8937,3.0593,3.0593,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,"CQR Quantile alpha=0.1, Delayed Update",result_calibration_cqr_quantile.txt,result_calibration_cqr_quantile.txt,long_term_forecast_cqr_DLinear_ETTh1_ne1_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,cqr,1,MOE,0,0,M,96,48,96,4021,cqr_retrain,0.9188,2.5094,,0.5538,0.1,1000,recorded in the run output,29,,0.874712,0.708085,2,0.9188,0.9188,2.5094,2.5094,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,"Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3",result_calibration_cqr_retrain.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_cqr_retrain.txt,long_term_forecast_cqr_DLinear_ETTh1_ne1_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,1,MOE,0,0,M,96,48,96,4021,standard_cp,0.9026,1.9448,,0.9724,0.1,1000,"code, run dated after 2026-01-22",,,0.387075,0.401513,3,0.9026,0.9026,1.9448,1.9448,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP with Sliding Window,result_calibration_mse_cp.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_mse_cp.txt,long_term_forecast_test_DLinear_ETTh1_ne1_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,1,MOG,1,0,M,96,48,96,4021,adaptive_window_cp,0.8841,1.7190,,2.7243,0.1,n/a,calibrator has no sliding window,,,0.383227,0.398036,2,0.8841,0.8841,1.7190,1.7190,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive Window CP Delayed,result_calibration_adaptive_window_tsf.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_adaptive_window_tsf.txt,long_term_forecast_test_DLinear_ETTh1_ne1_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,1,MOG,1,0,M,96,48,96,4021,aleatoric_only,0.9018,1.7391,,2.5315,0.1,1000,"code, run dated after 2026-01-22",,,0.383227,0.398036,2,0.9018,0.9018,1.7391,1.7391,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Only CP Delayed,result_calibration_aleatoric_only.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_aleatoric_only.txt,long_term_forecast_test_DLinear_ETTh1_ne1_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,1,MOG,1,0,M,96,48,96,4021,cp_aleatoric_scale,0.9018,1.7391,,2.5315,0.1,1000,"code, run dated after 2026-01-22",,,0.383227,0.398036,2,0.9018,0.9018,1.7391,1.7391,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Scale CP Delayed,result_calibration_aleatoric_scale_tsf.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_aleatoric_scale_tsf.txt,long_term_forecast_test_DLinear_ETTh1_ne1_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,1,MOG,1,0,M,96,48,96,4021,cpvs,0.9018,1.7391,,1.4900,0.1,1000,"code, run dated after 2026-01-22",,,0.383227,0.398036,4,0.9018,0.9018,1.7391,1.7391,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS Delayed,result_calibration_cpvs.txt,logs/gap_fill/train_ETTh1_DLinear_ne1_MOG_pl96.log;logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_cpvs.txt,long_term_forecast_test_DLinear_ETTh1_ne1_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,1,MOG,1,0,M,96,48,96,4021,standard_cp,0.9026,1.9414,,0.9707,0.1,1000,"code, run dated after 2026-01-22",,,0.383227,0.398036,4,0.9026,0.9026,1.9414,1.9414,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP with Sliding Window,result_calibration_mse_cp.txt,logs/gap_fill/train_ETTh1_DLinear_ne1_MOG_pl96.log;logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_mse_cp.txt,long_term_forecast_test_DLinear_ETTh1_ne1_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,cqr,2,MOE,0,0,M,96,48,96,4021,cqr_quantile,0.8862,3.3500,,0.5674,0.1,,unknown - run cannot be dated,,,1.175581,0.806988,1,0.8862,0.8862,3.3500,3.3500,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,"CQR Quantile alpha=0.1, Delayed Update",result_calibration_cqr_quantile.txt,result_calibration_cqr_quantile.txt,long_term_forecast_cqr_DLinear_ETTh1_ne2_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,cqr,2,MOE,0,0,M,96,48,96,4021,cqr_retrain,0.9035,2.4337,,0.3839,0.1,1000,recorded in the run output,29,,1.175581,0.806988,2,0.9035,0.9035,2.4337,2.4337,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,"Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3",result_calibration_cqr_retrain.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_cqr_retrain.txt,long_term_forecast_cqr_DLinear_ETTh1_ne2_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,2,MOE,0,0,M,96,48,96,4021,standard_cp,0.9032,1.9302,,0.9651,0.1,1000,"code, run dated after 2026-01-22",,,0.379961,0.397853,2,0.9032,0.9032,1.9302,1.9302,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP with Sliding Window,result_calibration_mse_cp.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_mse_cp.txt,long_term_forecast_test_DLinear_ETTh1_ne2_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,2,MOG,1,0,M,96,48,96,4021,adaptive_window_cp,0.8827,1.7120,,2.5010,0.1,n/a,calibrator has no sliding window,,,0.387110,0.398539,2,0.8827,0.8827,1.7120,1.7120,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive Window CP Delayed,result_calibration_adaptive_window_tsf.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_adaptive_window_tsf.txt,long_term_forecast_test_DLinear_ETTh1_ne2_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,2,MOG,1,0,M,96,48,96,4021,aleatoric_only,0.9015,1.7275,,2.4369,0.1,1000,"code, run dated after 2026-01-22",,,0.387110,0.398539,2,0.9015,0.9015,1.7275,1.7275,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Only CP Delayed,result_calibration_aleatoric_only.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_aleatoric_only.txt,long_term_forecast_test_DLinear_ETTh1_ne2_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,2,MOG,1,0,M,96,48,96,4021,cp_aleatoric_scale,0.9015,1.7276,,2.4359,0.1,1000,"code, run dated after 2026-01-22",,,0.387110,0.398539,2,0.9015,0.9015,1.7276,1.7276,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Scale CP Delayed,result_calibration_aleatoric_scale_tsf.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_aleatoric_scale_tsf.txt,long_term_forecast_test_DLinear_ETTh1_ne2_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,2,MOG,1,0,M,96,48,96,4021,cpvs,0.9016,1.7276,,1.4897,0.1,1000,"code, run dated after 2026-01-22",,,0.387110,0.398539,2,0.9016,0.9016,1.7276,1.7276,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS Delayed,result_calibration_cpvs.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_cpvs.txt,long_term_forecast_test_DLinear_ETTh1_ne2_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,2,MOG,1,0,M,96,48,96,4021,standard_cp,0.9021,1.9457,,0.9729,0.1,1000,"code, run dated after 2026-01-22",,,0.387110,0.398539,2,0.9021,0.9021,1.9457,1.9457,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP with Sliding Window,result_calibration_mse_cp.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_mse_cp.txt,long_term_forecast_test_DLinear_ETTh1_ne2_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
